cpu_percent,cpu_freq,mem_usage,net_sent,net_recv,energy_j,cpu_deriv,mem_deriv,Split_Type,energy_per_packet,time_diff,throughput_sent,throughput_recv,tp_sent_roll_mean,tp_recv_roll_mean,tp_sent_roll_90pct,delta_net_sent,delta_net_recv,delta_net_sum,latence_classe,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,cluster_kmeans,cluster_dbscan,cluster_agg,cluster_gmm,cluster_som,cluster_deep
8.879551727965145,2601.706,6.651127579131493,146065252484,196508455689,7.522193621154747,0.0062962119390945,0.0,2,2.195788363698954e-11,1.0,108024842.0,145566030.0,108732514.0,146269206.4,115694269.6,108024842.0,145566030.0,253590872.0,1,2.6700282539904583,-0.2653918752773283,-0.046763837863561364,0.7718334512314037,0.02546319169486537,-0.06709957724851018,-0.12756855742700396,0,0,2,0,57,0
8.885167333810756,2601.706,6.651127579131493,146155386574,196629761429,7.522471001631235,0.0056156058456107,0.0,2,2.194514857325557e-11,1.0,90134090.0,121305740.0,106766628.0,143622045.2,115694269.6,90134090.0,121305740.0,211439830.0,0,2.2891979143946397,-0.95432546823797,0.13045760495897202,0.1914816103359844,-0.03219366066012056,0.19478223894442662,0.7356169949545015,0,0,2,0,37,0
8.891260241859216,2601.706,6.651127579131493,146255420202,196764243593,7.529652924270003,0.0060929080484601,0.0,2,2.195108245680625e-11,1.0,100033628.0,134482164.0,105778686.0,142341438.4,115694269.6,100033628.0,134482164.0,234515792.0,1,2.531247016907256,-0.5527065702322018,0.032144891399666954,0.6941394118791849,0.00735884544492489,0.013373918617388581,0.07791383664107239,0,0,2,0,57,0
8.89733729670451,2601.706,6.651127579131493,146360948318,196906367927,7.535828233946239,0.0060770548452939,0.0,2,2.19532355028164e-11,1.0,105528116.0,142124334.0,103863371.6,139805328.4,115694269.6,105528116.0,142124334.0,247652450.0,1,2.5787585226088443,-0.47687901642758634,0.0196781035508587,0.6406823459701861,0.02247270409580123,-0.05623673500045151,-0.09426880185172017,0,0,2,0,57,0
8.903380367026841,2601.706,6.651127579131493,146470679060,197053542623,7.541587989004103,0.006043070322331,0.0,2,2.1953584384985202e-11,1.0,109730742.0,147174696.0,102690283.6,138130592.8,115153837.4,109730742.0,147174696.0,256905438.0,1,2.6127291050278325,-0.4329651755156738,0.01372330248370225,0.5802527679112853,0.03262432720249536,-0.10515497890620046,-0.23173210798064886,0,0,2,0,48,0
8.909561001003071,2601.706,6.651127579131493,146586035114,197208780131,7.547901308585088,0.0061806339762302,0.0,2,2.1954668813740526e-11,1.0,115356054.0,155237508.0,104156526.0,140064888.4,115380066.8,115356054.0,155237508.0,270593562.0,2,2.6654483654212746,-0.09498486585931423,-0.0771024594302742,0.571081732894907,0.08045602065420208,-0.10169856319227824,-0.18426187340293831,0,0,2,0,39,0
8.915723842546695,2601.706,6.651127579131493,146696934394,197358045759,7.551788716419987,0.0061628415436238,0.0,2,2.194936609567963e-11,1.0,110899280.0,149265628.0,108309564.0,145656866.0,115380066.8,110899280.0,149265628.0,260164908.0,1,2.725146986731791,-0.24221531786584805,-0.05338346516278074,0.6411482398358251,0.026048430060381933,-0.08199024048684997,-0.20876343502611933,0,0,2,0,57,0
8.921994956553906,2601.706,6.651127579131493,146808922510,197508814223,7.557064774825756,0.0062711140072106,0.0,2,2.1947939268333005e-11,1.0,111988116.0,150768464.0,110700461.6,148914126.0,115380066.8,111988116.0,150768464.0,262756580.0,1,2.77592180566487,-0.14418662087899814,-0.08510326318192274,0.7091902359204775,0.027395557567299042,-0.08597578310856764,-0.22123680274151053,0,0,2,0,57,0
8.92808379155421,2601.706,6.651127579131493,146918660864,197656794641,7.5614320620259985,0.0060888350003036,0.0,2,2.1944198117489762e-11,1.0,109738354.0,147980418.0,111542509.2,150085342.8,115380066.8,109738354.0,147980418.0,257718772.0,1,2.7771938395709643,-0.19366912974700257,-0.07893660323439267,0.5744092635299731,0.011420467609944874,-0.030964244521878653,-0.13737523976239946,0,0,2,0,57,0
8.93430622889735,2601.706,6.651127579131493,147028639004,197804949137,7.566451398300511,0.0062224373431405,0.0,2,2.1942327135507005e-11,1.0,109978140.0,148154496.0,111591988.8,150281302.8,112324909.8,109978140.0,148154496.0,258132636.0,1,2.748383192773685,-0.23347933186519798,-0.05969730680691994,0.6654581130593796,0.024203232309390567,-0.07410581841812862,-0.25861346007856806,0,0,2,0,48,0
